event_type,return,abs_return,direction
market_open,0.004086745358091948,0.004086745358091948,1.0
market_close,0.0008027262113148304,0.0008027262113148304,1.0
postmarket_close,-0.0011037921012442276,0.0011037921012442276,-1.0
premarket_open,0.0006800172173897501,0.0006800172173897501,1.0
market_open,-0.0011664401392249557,0.0011664401392249557,-1.0
market_close,2.115148694947777e-05,2.115148694947777e-05,1.0
postmarket_close,0.0016371934419894263,0.0016371934419894263,1.0
premarket_open,-0.00043787343703660664,0.00043787343703660664,-1.0
market_open,0.0014919503867110162,0.0014919503867110162,1.0
market_close,0.00171241135711786,0.00171241135711786,1.0
postmarket_close,0.00035695531133850267,0.00035695531133850267,1.0
premarket_open,0.0012240754499868167,0.0012240754499868167,1.0
market_open,0.004541969762261511,0.004541969762261511,1.0
market_close,-0.00014646115929406456,0.00014646115929406456,-1.0
postmarket_close,-0.0011151963496348616,0.0011151963496348616,-1.0
premarket_open,-0.00017121549251686297,0.00017121549251686297,-1.0
market_open,0.0010038464277855041,0.0010038464277855041,1.0
market_close,0.0024410557457337223,0.0024410557457337223,1.0
postmarket_close,-0.0006819318915898265,0.0006819318915898265,-1.0
premarket_open,-0.0013182392240221885,0.0013182392240221885,-1.0
market_open,-0.00024003975499409247,0.00024003975499409247,-1.0
market_close,0.0008325743912029893,0.0008325743912029893,1.0
postmarket_close,0.0006849002188047404,0.0006849002188047404,1.0
premarket_open,-0.0006118044872396311,0.0006118044872396311,-1.0
market_open,-0.000762360783726268,0.000762360783726268,-1.0
market_close,3.131239226683569e-05,3.131239226683569e-05,1.0
postmarket_close,0.0019471207936994084,0.0019471207936994084,1.0
premarket_open,-0.0005084949662710336,0.0005084949662710336,-1.0
market_open,0.0006488442863159527,0.0006488442863159527,1.0
market_close,-0.0031459599704856123,0.0031459599704856123,-1.0
postmarket_close,0.000568371856801031,0.000568371856801031,1.0
premarket_open,-0.000907561311375038,0.000907561311375038,-1.0
market_open,-0.0011664838931708665,0.0011664838931708665,-1.0
market_close,-0.00023317584433935057,0.00023317584433935057,-1.0
postmarket_close,0.0007416466324539073,0.0007416466324539073,1.0
premarket_open,-0.0013177962233562601,0.0013177962233562601,-1.0
market_open,0.00469890651859739,0.00469890651859739,1.0
market_close,-0.0012095032144989748,0.0012095032144989748,-1.0
postmarket_close,0.0016464893408956183,0.0016464893408956183,1.0
premarket_open,0.0024135044099609093,0.0024135044099609093,1.0
market_open,-0.0016451157693762042,0.0016451157693762042,-1.0
market_close,-0.0014011728881510033,0.0014011728881510033,-1.0
postmarket_close,0.0008548820413858405,0.0008548820413858405,1.0
premarket_open,-0.0017841085271317336,0.0017841085271317336,-1.0
market_open,0.0009557513882261226,0.0009557513882261226,1.0
market_close,-0.00030572971870557186,0.00030572971870557186,-1.0
postmarket_close,-0.0014339821496438532,0.0014339821496438532,-1.0
premarket_open,-0.0020220064307234775,0.0020220064307234775,-1.0
market_open,-0.003901277271651904,0.003901277271651904,-1.0
market_close,-0.0029065139030953757,0.0029065139030953757,-1.0
postmarket_close,-0.0010531507692107533,0.0010531507692107533,-1.0
premarket_open,0.0023107963547237542,0.0023107963547237542,1.0
market_open,-0.0020665112874643787,0.0020665112874643787,-1.0
market_close,0.0003818984751835508,0.0003818984751835508,1.0
postmarket_close,-0.0034067337461299863,0.0034067337461299863,-1.0
premarket_open,-0.0019045100495089784,0.0019045100495089784,-1.0
market_open,0.0032663694872219207,0.0032663694872219207,1.0
market_close,-0.0013854439261197227,0.0013854439261197227,-1.0
postmarket_close,0.002211539180005273,0.002211539180005273,1.0
premarket_open,0.0007035534056243353,0.0007035534056243353,1.0
market_open,0.000267144170555067,0.000267144170555067,1.0
market_close,0.00114817177847093,0.00114817177847093,1.0
postmarket_close,0.0027339444470206864,0.0027339444470206864,1.0
premarket_open,0.000816846766540813,0.000816846766540813,1.0
market_open,0.0012649264441266794,0.0012649264441266794,1.0
market_close,0.0015953718325960597,0.0015953718325960597,1.0
postmarket_close,0.002496759115176328,0.002496759115176328,1.0
premarket_open,0.0007132564254215268,0.0007132564254215268,1.0
market_open,-0.0036970110068199613,0.0036970110068199613,-1.0
market_close,-0.001170547364584884,0.001170547364584884,-1.0
postmarket_close,-0.0023370812046348277,0.0023370812046348277,-1.0
premarket_open,0.00029837227557250046,0.00029837227557250046,1.0
market_open,0.0014981265203080074,0.0014981265203080074,1.0
market_close,-0.00017683493733589017,0.00017683493733589017,-1.0
postmarket_close,0.0033466621115600947,0.0033466621115600947,1.0
premarket_open,0.0008678137394693142,0.0008678137394693142,1.0
market_open,-0.0009609256683292822,0.0009609256683292822,-1.0
market_close,-0.0018893040102548886,0.0018893040102548886,-1.0
postmarket_close,-0.0019055975565249739,0.0019055975565249739,-1.0
premarket_open,4.375742850726283e-05,4.375742850726283e-05,1.0
market_open,-0.0016138191193333373,0.0016138191193333373,-1.0
market_close,-7.046901786733617e-05,7.046901786733617e-05,-1.0
postmarket_close,-0.002602344078437957,0.002602344078437957,-1.0
premarket_open,-0.001213402916073747,0.001213402916073747,-1.0
market_open,-0.0033533556482798765,0.0033533556482798765,-1.0
